x,y,links off,file off,file off hex,flag 1,flag 2,flag 3,flag 4,flag 5
17907,4732,15270,2410496,0x24c800,0,1,0,0,0
17908,3516,15276,2418688,0x24e800,1,0,0,0,1
20978,2492,15284,2506752,0x264000,1,1,1,1,0
-28684,14108,15288,2572288,0x274000,1,0,1,1,0
-28686,12924,15296,2641920,0x285000,1,1,0,1,0
-28172,11516,15300,2701312,0x293800,1,0,0,0,1
-28685,3676,15308,2785280,0x2a8000,0,0,0,0,1
-27150,2300,15314,2859008,0x2ba000,0,1,1,1,0
-9740,14108,15318,2924544,0x2ca000,1,1,1,1,0
-12158,12924,15326,3002368,0x2dd000,1,0,1,1,0
-9740,11772,15330,3084288,0x2f1000,1,0,0,0,1
-9228,10588,15338,3153920,0x302000,1,0,1,1,0
-10254,9468,15346,3219456,0x312000,1,0,1,1,0
-10253,8220,15350,3270656,0x31e800,1,0,1,1,0
-10254,7068,15356,3313664,0x329000,1,0,1,1,0
-10254,5884,15360,3364864,0x335800,1,0,1,1,0
-9740,4700,15364,3430400,0x345800,0,0,0,0,1
-25613,4508,15372,3506176,0x358000,1,0,1,1,0
-9742,3644,15378,3561472,0x365800,1,0,0,0,1
-9742,3548,15382,3643392,0x379800,0,1,1,1,0
-9740,2364,15386,3704832,0x388800,0,0,0,0,1
-9742,1212,15394,3766272,0x397800,1,1,1,1,0
-9742,60,15398,3844096,0x3aa800,0,0,0,0,1
-12814,-1092,15402,3923968,0x3be000,0,1,1,1,0
-14350,-2244,15406,3997696,0x3d0000,0,1,1,1,0
-9230,-3396,15410,4075520,0x3e3000,1,0,1,1,0
-13326,-4580,15414,4153344,0x3f6000,1,0,1,1,0
-10718,-5764,15418,4235264,0x40a000,1,0,1,1,0
-8718,15228,15422,4317184,0x41e000,0,0,1,1,0
6642,4925,15426,4384768,0x42e800,1,0,1,1,0
6850,2429,15430,4435968,0x43b000,0,1,1,1,0
-7694,-6916,15434,4505600,0x44c000,1,1,1,1,0
-3598,-8068,15438,4587520,0x460000,1,1,1,1,0
4082,-9155,15442,4669440,0x474000,0,1,1,1,0
9713,18813,15446,4757504,0x489800,0,0,1,1,0
8690,17565,15448,4827136,0x49a800,0,0,1,1,0
8338,15293,15452,4886528,0x4a9000,0,0,1,1,0
8371,14109,15456,4939776,0x4b6000,1,1,1,1,0
9202,12925,15462,5017600,0x4c9000,1,0,1,1,0
8692,11677,15466,5085184,0x4d9800,1,1,1,1,0
11250,5725,15474,5173248,0x4ef000,0,0,1,1,0
14833,4797,15478,5220352,0x4fa800,0,0,0,1,0
9202,3517,15480,5251072,0x502000,0,1,1,1,0
10227,-3331,15484,5324800,0x514000,1,0,0,0,1
11251,-4675,15490,5425152,0x52c800,1,0,0,0,1
10243,-5859,15496,5513216,0x542000,1,0,0,0,1
10227,-6915,15502,5605376,0x558800,1,0,0,0,1
14834,-10211,15508,5693440,0x56e000,0,1,1,1,0
17906,-11299,15512,5787648,0x585000,1,0,1,1,0
27153,17501,15516,5861376,0x597000,1,0,0,1,0
27634,15261,15518,5935104,0x5a9000,1,0,1,1,0
27154,14109,15522,5996544,0x5b8000,0,1,0,1,0
27634,11613,15526,6053888,0x5c6000,1,0,1,1,0
27634,5917,15530,6131712,0x5d9000,0,1,1,1,0
27634,4893,15534,6201344,0x5ea000,1,0,0,0,1
27635,3517,15538,6285312,0x5fe800,1,0,0,0,1
26099,2365,15544,6369280,0x613000,1,0,0,0,1
25586,1181,15550,6459392,0x629000,0,0,0,0,1
28866,61,15554,6541312,0x63d000,1,0,0,0,1
30195,-1347,15558,6635520,0x654000,1,0,0,0,1
30195,-2179,15564,6721536,0x669000,1,0,0,0,1
27635,-3619,15570,6807552,0x67e000,1,0,0,0,1
27315,-4547,15576,6907904,0x696800,0,0,0,0,1
28147,-5955,15582,6998016,0x6ac800,0,0,0,0,1
27779,-7075,15588,7088128,0x6c2800,0,0,0,0,1
26098,-12387,15594,7186432,0x6da800,0,1,1,1,0
-31246,-13411,15598,7270400,0x6ef000,1,0,0,0,1
-18958,15293,15602,7354368,0x703800,0,0,1,1,0
-18957,14077,15606,7419904,0x713800,0,1,1,1,0
-18957,12893,15612,7499776,0x727000,1,0,1,1,0
-19469,11677,15618,7575552,0x739800,0,0,0,0,1
-21006,5725,15624,7663616,0x74f000,0,1,1,1,0
-17933,4797,15628,7727104,0x75e800,0,0,0,0,1
-18957,3549,15634,7821312,0x775800,1,0,0,0,1
-18958,2365,15640,7897088,0x788000,1,0,0,0,1
-17166,1309,15644,7987200,0x79e000,0,0,0,0,1
-19470,-99,15648,8073216,0x7b3000,0,0,1,1,0
-18445,-1283,15652,8151040,0x7c6000,1,1,1,1,0
-19837,-2275,15658,8243200,0x7dc800,1,0,0,0,1
-18957,-3619,15664,8331264,0x7f2000,0,0,0,0,1
-18956,-4675,15670,8423424,0x808800,1,0,0,0,1
-18957,-5731,15678,8523776,0x821000,0,1,1,1,0
-19310,-7331,15684,8595456,0x832800,0,1,1,1,0
-9742,-13379,15688,8677376,0x846800,1,0,1,1,0
-526,15357,15692,8757248,0x85a000,0,1,0,1,0
-524,13053,15696,8798208,0x864000,0,0,1,1,0
-14,11517,15704,8876032,0x877000,0,0,1,1,0
-2029,4573,15708,8941568,0x887000,1,1,1,1,0
-524,3613,15714,9015296,0x899000,0,0,0,0,1
-524,1117,15722,9113600,0x8b1000,0,0,0,0,1
-524,157,15730,9207808,0x8c8000,0,0,0,0,1
498,-1282,15738,9304064,0x8df800,0,1,1,1,0
-2574,-2499,15742,9388032,0x8f4000,1,0,0,0,1
-524,-3523,15746,9484288,0x90b800,0,0,0,0,1
-525,-4547,15754,9572352,0x921000,1,0,0,0,1
-1550,-5891,15760,9668608,0x938800,1,0,0,0,1
1522,-6850,15764,9752576,0x94d000,1,1,1,1,0
9203,-13442,15768,9844736,0x963800,1,0,0,0,1
15858,15646,15774,9945088,0x97c000,0,1,0,1,0
17586,13822,15778,9984000,0x985800,0,1,1,0,0
18419,12958,15782,10004480,0x98a800,0,1,1,1,0
18419,11678,15788,10088448,0x99f000,1,1,1,1,0
18419,3550,15794,10178560,0x9b5000,1,0,0,0,1
18427,3550,15800,10278912,0x9cd800,1,0,0,0,1
18083,2366,15806,10379264,0x9e6000,0,1,1,1,0
18420,1182,15812,10465280,0x9fb000,0,0,0,0,1
16372,30,15820,10563584,0xa13000,0,0,0,0,1
15347,-1186,15828,10653696,0xa29000,0,0,0,0,1
22514,-2210,15834,10745856,0xa3f800,0,1,1,1,0
18419,-3650,15838,10799104,0xa4c800,1,0,1,1,0
18419,-4642,15844,10876928,0xa5f800,1,0,1,1,0
32242,15934,15850,10956800,0xa73000,0,1,0,1,0
-28174,11678,15854,10995712,0xa7c800,1,0,0,1,0
-28172,3646,15858,11055104,0xa8b000,0,0,0,0,1
-28164,3646,15866,11151360,0xaa2800,1,0,0,0,1
-26125,2494,15874,11251712,0xabb000,1,1,1,1,0
-26117,2494,15880,11341824,0xad1000,1,1,1,1,0
-28172,990,15886,11431936,0xae7000,0,1,1,1,0
-28164,990,15894,11513856,0xafb000,1,1,1,1,0
-21519,62,15902,11597824,0xb0f800,0,0,1,1,0
-28173,30,15904,11642880,0xb1a800,0,0,1,1,0
-28165,30,15910,11730944,0xb30000,0,0,1,1,0
-25948,-1154,15916,11819008,0xb45800,0,0,0,0,1
-32606,-2498,15924,11915264,0xb5d000,1,1,1,1,0
-31757,-3490,15928,11970560,0xb6a800,0,0,0,0,1
-28172,-4674,15934,12062720,0xb81000,1,0,0,0,1
-29710,-5858,15942,12163072,0xb99800,0,1,1,1,0
-26125,-7042,15946,12244992,0xbad800,0,1,1,1,0
-29197,-8130,15952,12337152,0xbc4000,1,0,0,0,1
-28685,-9538,15958,12410880,0xbd6000,1,0,0,0,1
-28174,-10562,15964,12482560,0xbe7800,0,0,0,1,0
-28173,-11746,15968,12523520,0xbf1800,0,1,1,1,0
27636,-12898,15974,12601344,0xc04800,1,0,0,0,1
27635,-14082,15982,12689408,0xc1a000,0,1,1,1,0
-16910,16286,15988,12767232,0xc2d000,0,1,0,1,0
-12814,12030,15992,12806144,0xc36800,1,0,0,1,0
-9228,3646,15996,12863488,0xc44800,1,1,1,1,0
-9220,3646,16004,12957696,0xc5b800,1,1,1,1,0
-10252,2366,16012,13051904,0xc72800,0,0,0,0,1
-9228,1182,16020,13150208,0xc8a800,1,0,0,0,1
-9220,1182,16028,13246464,0xca2000,1,0,0,0,1
-10253,30,16036,13342720,0xcb9800,1,0,1,1,0
-9228,-1154,16042,13420544,0xccc800,1,1,1,1,0
-11277,-2338,16050,13516800,0xce4000,0,1,1,1,0
-5644,-3522,16056,13584384,0xcf4800,1,0,0,0,1
-9548,-4546,16064,13662208,0xd07800,0,0,0,0,1
-7182,-5858,16072,13756416,0xd1e800,0,0,0,0,1
-9596,-7074,16076,13842432,0xd33800,0,0,0,0,1
-9228,-8226,16084,13938688,0xd4b000,0,1,1,1,0
-9228,-9378,16092,14000128,0xd5a000,0,1,1,1,0
-10765,-10562,16100,14057472,0xd68000,1,1,1,1,0
-9742,-11810,16106,14116864,0xd76800,1,1,1,1,0
-18812,-12898,16110,14176256,0xd85000,1,0,0,0,1
-18445,-14082,16118,14260224,0xd99800,1,1,1,1,0
-1902,16766,16124,14336000,0xdac000,0,1,0,1,0
9202,13759,16128,14374912,0xdb5800,1,1,0,1,0
-2062,12862,16132,14426112,0xdc2000,1,0,0,1,0
8692,3807,16136,14479360,0xdcf000,0,0,1,1,0
5107,2239,16144,14567424,0xde4800,0,0,1,1,0
7667,1279,16150,14641152,0xdf6800,1,0,0,0,1
11762,-129,16156,14741504,0xe0f000,1,1,1,1,0
5619,-1153,16160,14837760,0xe26800,0,0,0,0,1
12275,-2337,16166,14934016,0xe3e000,0,0,0,0,1
7156,-3521,16172,15030272,0xe55800,0,0,0,0,1
7156,-4641,16180,15122432,0xe6c000,1,0,0,0,1
5618,-5889,16188,15218688,0xe83800,1,1,1,1,0
9204,-7041,16192,15294464,0xe96000,1,0,0,0,1
9716,-8225,16200,15394816,0xeae800,1,0,0,0,1
9716,-9377,16208,15470592,0xec1000,1,1,1,1,0
9716,-10561,16216,15532032,0xed0000,0,1,1,1,0
9715,-11841,16224,15591424,0xede800,1,0,0,0,1
499,-13505,16230,15661056,0xeef800,1,0,0,0,1
14322,17247,16236,15753216,0xf06000,1,1,0,1,0
27122,14047,16240,15794176,0xf10000,1,1,0,1,0
27636,3807,16244,15845376,0xf1c800,0,1,1,1,0
28148,1023,16252,15931392,0xf31800,0,1,1,1,0
25587,31,16260,16019456,0xf47000,0,0,0,0,1
28148,-865,16266,16117760,0xf5f000,0,1,1,1,0
26611,-2369,16274,16209920,0xf75800,1,1,1,1,0
27635,-3521,16280,16304128,0xf8c800,1,1,1,1,0
25586,-5857,16286,16394240,0xfa2800,0,0,0,0,1
27667,-7041,16290,16492544,0xfba800,1,0,0,0,1
28148,-8225,16296,16592896,0xfd3000,1,1,0,1,0
28146,-9377,16304,16646144,0xfe0000,1,1,1,1,0
28148,-10561,16308,16707584,0xfef000,0,0,1,1,0
28148,-11841,16316,16764928,0xffd000,1,1,1,1,0
18930,-13857,16324,16828416,0x100c800,1,0,1,1,0
31218,17535,16328,16893952,0x101c800,0,1,0,1,0
-18956,-129,16332,16932864,0x1026000,1,0,0,0,1
-21004,-1153,16340,17029120,0x103d800,1,0,1,1,0
-20317,-2337,16348,17117184,0x1053000,0,0,0,0,1
30707,-4673,16354,17213440,0x106a800,1,1,1,1,0
-20350,-5857,16360,17303552,0x1080800,1,0,1,1,0
-28686,-13217,16364,17383424,0x1094000,0,0,0,0,1
-17774,17631,16368,17477632,0x10ab000,0,1,0,1,0
-18446,14079,16372,17522688,0x10b6000,0,1,0,1,0
-19196,3871,16376,17577984,0x10c3800,0,0,0,0,1
-14717,1567,16384,17674240,0x10db000,0,1,0,1,0
-18445,1151,16390,17713152,0x10e4800,0,1,0,1,0
-2061,1055,16396,17797120,0x10f9000,1,1,1,1,0
-18445,-3393,16402,17893376,0x1110800,0,0,0,0,1
-18445,-4897,16408,17987584,0x1127800,0,0,0,0,1
-18445,-6881,16414,18079744,0x113e000,0,0,0,0,1
-18445,-10561,16420,18176000,0x1155800,0,0,1,1,0
-18445,-11841,16426,18233344,0x1163800,0,1,1,1,0
-7694,-13281,16432,18294784,0x1172800,0,0,0,0,1
-1037,17695,16436,18380800,0x1187800,1,1,1,1,0
2034,16448,16442,18472960,0x119e000,1,1,0,1,0
1106,15264,16446,18542592,0x11af000,1,0,1,1,0
-14,14239,16450,18612224,0x11c0000,1,0,0,1,0
3600,4864,16454,18669568,0x11ce000,1,1,0,0,0
260,3808,16454,18685952,0x11d2000,1,0,1,1,0
-12,159,16462,18769920,0x11e6800,1,1,1,1,0
-4,159,16470,18862080,0x11fd000,1,1,1,1,0
1523,-1344,16478,18954240,0x1213800,0,1,1,1,0
498,-2368,16484,19044352,0x1229800,0,1,1,1,0
500,-3552,16488,19132416,0x123f000,0,0,0,0,1
499,-4512,16496,19218432,0x1254000,0,0,0,0,1
3571,-6080,16502,19316736,0x126c000,1,1,0,1,0
499,-6880,16508,19396608,0x127f800,1,1,1,1,0
11762,-11584,16514,19486720,0x1295800,0,0,0,0,1
3058,-12448,16518,19572736,0x12aa800,1,0,1,1,0
18930,17440,16522,19656704,0x12bf000,0,0,1,1,0
18931,3648,16526,19740672,0x12d3800,0,1,1,1,0
18578,2336,16532,19834880,0x12ea800,0,1,1,1,0
18586,2336,16536,19924992,0x1300800,0,1,1,1,0
23027,1152,16540,20015104,0x1316800,1,0,1,1,0
23035,1152,16546,20094976,0x132a000,1,1,1,1,0
23035,1152,16552,20180992,0x133f000,1,0,1,1,0
18932,0,16558,20260864,0x1352800,1,1,1,1,0
18940,0,16566,20350976,0x1368800,1,0,0,0,1
18940,0,16574,20447232,0x1380000,0,0,0,0,1
18931,-1056,16582,20539392,0x1396800,1,1,1,1,0
18939,-1056,16588,20625408,0x13ab800,1,1,1,1,0
18930,-3456,16594,20711424,0x13c0800,1,0,1,1,0
18931,-4896,16598,20791296,0x13d4000,0,1,1,1,0
16371,-5888,16604,20875264,0x13e8800,1,1,1,1,0
16883,-6944,16610,20961280,0x13fd800,0,0,0,0,1
31395,-11328,16616,21053440,0x1414000,0,0,0,0,1
-27662,17600,16622,21137408,0x1428800,0,1,0,1,0
-29710,3648,16626,21221376,0x143d000,0,1,1,1,0
-24077,2336,16630,21299200,0x1450000,0,0,0,0,1
-24069,2336,16636,21389312,0x1466000,0,0,0,0,1
-27660,1152,16642,21479424,0x147c000,1,0,0,0,1
-27652,1152,16650,21573632,0x1493000,1,0,0,0,1
-27652,1152,16658,21673984,0x14ab800,1,0,0,0,1
-27660,-32,16666,21768192,0x14c2800,0,0,0,0,1
-27652,-32,16674,21862400,0x14d9800,1,0,0,0,1
-27652,-32,16682,21960704,0x14f1800,0,0,0,0,1
-27660,-1184,16690,22054912,0x1508800,1,0,0,0,1
-27652,-1184,16698,22153216,0x1520800,1,0,0,0,1
-27652,-1184,16706,22251520,0x1538800,1,0,0,0,1
-26126,-2368,16714,22351872,0x1551000,0,0,1,1,0
-30221,-3552,16718,22431744,0x1564800,1,1,1,1,0
-30222,-4576,16724,22528000,0x157c000,1,0,0,0,1
-31758,-10336,16728,22611968,0x1590800,1,0,0,1,0
-8718,17504,16732,22669312,0x159e800,1,1,0,1,0
-8717,2464,16736,22734848,0x15ae800,1,1,1,1,0
-10109,1152,16742,22829056,0x15c5800,1,0,0,0,1
-10101,1152,16748,22906880,0x15d8800,1,0,0,0,1
-8206,256,16754,22984704,0x15eb800,1,1,1,1,0
-8198,256,16758,23054336,0x15fc800,1,1,1,1,0
-8718,-1152,16762,23123968,0x160d800,1,0,0,0,1
-8710,-1152,16766,23214080,0x1623800,1,0,0,0,1
-14350,-10240,16770,23304192,0x1639800,1,0,1,1,0
-14862,-11424,16774,23388160,0x164e000,0,1,0,1,0
9714,17441,16778,23441408,0x165b000,1,1,0,1,0
10226,2497,16782,23513088,0x166c800,1,1,1,1,0
9714,-1183,16786,23582720,0x167d800,1,0,0,1,0
4594,-10367,16790,23615488,0x1685800,0,0,0,0,1
4083,-11519,16794,23697408,0x1699800,1,0,1,1,0
6130,-12511,16800,23758848,0x16a8800,0,0,0,1,0
28658,17569,16804,23805952,0x16b4000,1,1,0,1,0
-30734,3137,16808,23873536,0x16c4800,0,1,1,1,0
22002,2817,16812,23932928,0x16d3000,0,1,0,1,0
29202,-127,16816,23986176,0x16e0000,0,1,1,1,0
30707,-1151,16820,24061952,0x16f2800,0,0,1,1,0
28658,-1183,16826,24104960,0x16fd000,1,0,0,1,0
28658,-1951,16830,24145920,0x1707000,0,1,1,0,0
26611,-2655,16834,24180736,0x170f800,1,0,0,0,1
19954,-3679,16840,24246272,0x171f800,1,0,0,0,1
25586,-4703,16844,24307712,0x172e800,0,1,1,1,0
30194,-5855,16848,24356864,0x173a800,1,1,1,1,0
20978,-10207,16852,24436736,0x174e000,1,1,0,1,0
23027,-11359,16856,24506368,0x175f000,0,1,1,1,0
22274,-12735,16862,24576000,0x1770000,1,1,1,1,0
-18414,17665,16866,24653824,0x1783000,1,1,0,1,0
-17934,193,16870,24715264,0x1792000,1,1,1,1,0
-17934,-1183,16874,24799232,0x17a6800,0,0,1,1,0
-17422,-3615,16878,24848384,0x17b2800,1,0,0,1,0
-16398,-4639,16882,24918016,0x17c3800,1,1,1,1,0
-17422,-5887,16886,25010176,0x17da000,0,1,1,1,0
-18766,-8255,16890,25096192,0x17ef000,0,1,1,1,0
-30736,-9407,16894,25165824,0x1800000,0,1,1,0,0
-17933,-9407,16894,25202688,0x1809000,0,0,0,0,1
-23805,-11519,16900,25278464,0x181b800,1,1,1,1,0
-26638,-12479,16906,25366528,0x1831000,0,0,0,1,0
1010,17730,16910,25421824,0x183e800,0,1,0,1,0
2547,16290,16914,25473024,0x184b000,0,0,1,1,0
1523,15266,16920,25550848,0x185e000,1,1,0,1,0
2034,14050,16926,25624576,0x1870000,0,1,1,1,0
-12302,3041,16930,25696256,0x1881800,0,0,0,0,1
3058,2690,16934,25763840,0x1892000,0,0,0,0,1
1011,98,16938,25827328,0x18a1800,1,0,1,1,0
1010,-1182,16944,25919488,0x18b8000,1,0,0,1,0
1012,-3710,16948,25962496,0x18c2800,1,0,0,0,1
1012,-5886,16956,26062848,0x18db000,1,0,0,0,1
1012,-8382,16964,26161152,0x18f3000,1,0,0,0,1
1012,-9278,16972,26228736,0x1903800,0,0,0,0,1
-3950,-11583,16980,26298368,0x1914800,0,1,1,1,0
19443,17698,16984,26386432,0x192a000,1,1,1,1,0
19444,16642,16990,26466304,0x193d800,0,1,1,1,0
18419,15170,16998,26550272,0x1952000,1,1,0,1,0
18595,14082,17004,26617856,0x1962800,1,1,1,1,0
3058,1154,17010,26710016,0x1979000,0,1,1,1,0
19443,1026,17014,26804224,0x1990000,1,0,0,0,1
19443,226,17020,26902528,0x19a8000,1,1,1,1,0
19442,-1182,17026,26988544,0x19bd000,1,0,1,1,0
19442,-3646,17030,27049984,0x19cc000,1,1,1,1,0
4083,-4702,17034,27144192,0x19e3000,1,0,0,0,1
19443,-4798,17040,27219968,0x19f5800,1,1,1,1,0
19444,-5886,17046,27314176,0x1a0c800,1,0,0,0,1
19443,-6878,17054,27412480,0x1a24800,1,1,1,1,0
4082,-6910,17060,27506688,0x1a3b800,0,1,1,1,0
19443,-8382,17064,27598848,0x1a52000,1,0,0,0,1
19443,-9278,17070,27666432,0x1a62800,1,1,1,1,0
10738,-12222,17076,27734016,0x1a73000,0,0,0,0,1
22002,13058,17080,27828224,0x1a8a000,0,1,0,1,0
21121,7042,17084,27897856,0x1a9b000,0,1,0,1,0
20978,2466,17086,27979776,0x1aaf000,1,1,1,1,0
-29198,-2366,17090,28041216,0x1abe000,1,1,1,1,0
-29197,-5886,17094,28137472,0x1ad5800,0,0,0,0,1
30706,-11966,17100,28229632,0x1aec000,0,1,1,1,0
-27662,17826,17104,28309504,0x1aff800,1,0,1,1,0
-27149,16290,17108,28393472,0x1b14000,1,1,1,1,0
-26638,15266,17114,28479488,0x1b29000,0,0,1,1,0
-27149,14082,17118,28540928,0x1b38000,0,1,1,1,0
-27149,12994,17124,28616704,0x1b4a800,0,1,1,1,0
-11709,12994,17130,28682240,0x1b5a800,1,1,0,1,0
-27150,7106,17136,28745728,0x1b6a000,0,0,1,1,0
-27053,2306,17140,28829696,0x1b7e800,0,0,0,0,1
-27148,1154,17146,28928000,0x1b96800,1,1,1,1,0
-27148,-30,17154,29024256,0x1bae000,1,1,1,1,0
-27148,-1182,17162,29120512,0x1bc5800,0,0,0,0,1
-27469,-3102,17170,29212672,0x1bdc000,0,1,1,1,0
-27453,-4926,17176,29302784,0x1bf2000,1,0,0,0,1
-27149,-6846,17182,29382656,0x1c05800,1,1,1,1,0
-27150,-8254,17188,29476864,0x1c1c800,0,0,0,0,1
-27150,-9246,17192,29542400,0x1c2c800,1,1,1,1,0
-18446,-11358,17196,29620224,0x1c3f800,0,1,1,1,0
-8205,17730,17200,29700096,0x1c53000,1,1,1,1,0
-8204,16450,17206,29779968,0x1c66800,1,0,0,0,1
-11021,15298,17214,29870080,0x1c7c800,1,0,0,1,0
-8716,14082,17220,29921280,0x1c89000,0,1,1,1,0
-9471,7042,17228,29995008,0x1c9b000,0,1,0,1,0
-8685,2402,17230,30072832,0x1cae000,1,1,1,1,0
-8205,1026,17236,30142464,0x1cbf000,1,1,1,1,0
-8205,130,17242,30232576,0x1cd5000,1,1,1,1,0
-8205,-1310,17248,30328832,0x1cec800,1,1,1,1,0
-5613,-2366,17254,30423040,0x1d03800,0,1,1,1,0
-8204,-3550,17260,30498816,0x1d16000,0,0,0,0,1
-8204,-4702,17268,30597120,0x1d2e000,0,0,0,0,1
-10606,-5886,17276,30695424,0x1d46000,1,1,1,1,0
-8205,-6910,17280,30767104,0x1d57800,1,1,1,1,0
-8206,-8222,17286,30863360,0x1d6f000,1,0,1,1,0
-9231,-9470,17290,30941184,0x1d82000,1,1,0,1,0
-526,-11038,17292,30992384,0x1d8e800,0,0,0,0,1
9875,17667,17296,31072256,0x1da2000,0,0,1,1,0
9202,16291,17302,31141888,0x1db3000,0,0,1,1,0
14322,15267,17306,31207424,0x1dc3000,0,1,1,1,0
9378,14211,17310,31277056,0x1dd4000,1,1,0,1,0
11762,4643,17314,31354880,0x1de7000,0,1,1,1,0
11770,4643,17318,31449088,0x1dfe000,0,1,1,1,0
12786,3747,17322,31543296,0x1e15000,1,1,0,1,0
12794,3747,17326,31623168,0x1e28800,1,1,0,1,0
8690,2243,17330,31711232,0x1e3e000,1,1,1,1,0
10228,1283,17334,31801344,0x1e54000,0,1,1,1,0
9747,-93,17342,31895552,0x1e6b000,1,0,0,0,1
10227,-1053,17348,31989760,0x1e82000,1,1,1,1,0
10227,-2429,17354,32083968,0x1e99000,1,1,1,1,0
10227,-3485,17360,32180224,0x1eb0800,0,1,1,1,0
10227,-4925,17366,32266240,0x1ec5800,1,1,1,1,0
12787,-5885,17372,32360448,0x1edc800,0,1,1,1,0
10228,-7069,17378,32452608,0x1ef3000,1,1,1,1,0
10227,-8029,17386,32548864,0x1f0a800,1,1,1,1,0
16370,-11485,17392,32641024,0x1f21000,1,0,1,1,0
28418,17731,17396,32729088,0x1f36800,1,0,0,1,0
28426,17731,17400,32788480,0x1f45000,0,1,0,1,0
30195,16419,17404,32849920,0x1f54000,1,1,0,1,0
30203,16419,17410,32909312,0x1f62800,1,1,1,1,0
28146,15267,17416,32999424,0x1f78800,1,0,1,1,0
28154,15267,17420,33073152,0x1f8a800,1,0,1,1,0
30707,14083,17424,33146880,0x1f9c800,1,0,0,0,1
28658,12899,17430,33220608,0x1fae800,0,1,1,1,0
29170,11747,17434,33286144,0x1fbe800,0,1,1,1,0
28818,10563,17438,33343488,0x1fcc800,1,0,1,1,0
28826,10563,17442,33394688,0x1fd9000,1,0,1,1,0
29170,9411,17446,33445888,0x1fe5800,1,0,1,1,0
29178,9411,17450,33486848,0x1fef800,0,0,1,1,0
29170,8227,17454,33529856,0x1ffa000,1,0,1,1,0
29178,8195,17458,33570816,0x2004000,1,0,1,1,0
29170,7043,17462,33617920,0x200f800,0,1,1,1,0
29178,7043,17466,33660928,0x201a000,0,1,1,1,0
29170,5859,17470,33703936,0x2024800,0,0,0,0,1
28147,4675,17474,33777664,0x2036800,0,0,0,0,1
28155,4675,17480,33875968,0x204e800,0,0,0,0,1
27123,3523,17486,33974272,0x2066800,0,1,1,1,0
27131,3523,17492,34068480,0x207d800,1,1,1,1,0
31219,2339,17498,34162688,0x2094800,0,1,1,1,0
31227,2339,17504,34252800,0x20aa800,0,1,1,1,0
27635,1155,17510,34342912,0x20c0800,1,1,1,1,0
28147,3,17516,34437120,0x20d7800,0,1,1,1,0
27634,-1085,17522,34531328,0x20ee800,1,0,1,1,0
29171,-2429,17526,34580480,0x20fa800,0,1,1,1,0
28931,-3453,17532,34674688,0x2111800,0,1,1,1,0
29170,-4701,17538,34766848,0x2128000,1,0,1,1,0
28658,-5981,17542,34850816,0x213c800,0,1,1,1,0
29171,-6909,17546,34942976,0x2153000,0,1,1,1,0
28803,-8253,17552,35024896,0x2167000,0,0,1,1,0
32754,-12029,17558,35112960,0x217c800,1,1,1,1,0
-17422,14179,17562,35184640,0x218e000,1,0,1,1,0
-15374,5699,17566,35252224,0x219e800,0,1,0,1,0
-15837,4675,17570,35313664,0x21ad800,0,0,1,1,0
-15373,3523,17576,35381248,0x21be000,1,1,1,1,0
-17420,2339,17582,35477504,0x21d5800,1,1,1,1,0
-14349,1155,17590,35569664,0x21ec000,1,0,1,1,0
-16398,67,17596,35649536,0x21ff800,1,1,1,1,0
